Institute Id,Institute Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank,Year
IR-E-U-0456,Indian Institute of Technology Madras,95.47,96.43,81.92,62.44,100,Chennai,Tamil Nadu,90.19,1,2021
IR-E-I-1074,Indian Institute of Technology Delhi,91.76,95.82,80.97,66.39,98.63,New Delhi,Delhi,88.96,2,2021
IR-E-U-0306,Indian Institute of Technology Bombay,89.32,92.56,79.71,53.68,92.88,Mumbai,Maharashtra,85.16,3,2021
IR-E-I-1075,Indian Institute of Technology Kanpur,86.71,83.13,89.79,55.96,87.05,Kanpur,Uttar Pradesh,83.22,4,2021
IR-E-U-0573,Indian Institute of Technology Kharagpur,80.51,88.59,83.01,58.46,88.5,Kharagpur,West Bengal,82.03,5,2021
IR-E-U-0560,Indian Institute of Technology Roorkee,79.28,78.13,90.74,63.36,63.59,Roorkee,Uttarakhand,78.08,6,2021
IR-E-U-0053,Indian Institute of Technology Guwahati,79.25,70.32,84.63,59.83,60.58,Guwahati,Assam,73.84,7,2021
IR-E-U-0013,Indian Institute of Technology Hyderabad,82.6,56.9,72.54,56.58,66.7,Hyderabad,Telangana,68.69,8,2021
IR-E-U-0467,National Institute of Technology Tiruchirappalli,70,54.63,78.13,61.35,69.32,Tiruchirappalli,Tamil Nadu,66.08,9,2021
IR-E-U-0237,National Institute of Technology Karnataka,73.15,50.17,78.62,64.54,50.18,Surathkal,Karnataka,64.19,10,2021
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),69.29,65.53,73.12,54.62,35.36,Dhanbad,Jharkhand,64.07,11,2021
IR-E-U-0490,Vellore Institute of Technology,61.41,69.7,67.01,59.84,49.73,Vellore,Tamil Nadu,63.68,12,2021
IR-E-U-0273,Indian Institute of Technology Indore,76.22,55.89,71.57,55.76,30.29,Indore,Madhya Pradesh,62.56,13,2021
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,67.4,51.62,79.07,55.8,49.96,Varanasi,Uttar Pradesh,62.1,14,2021
IR-E-U-0308,Institute of Chemical Technology,75.45,54.62,72.56,45.67,21.98,Mumbai,Maharashtra,60.31,15,2021
IR-E-U-0436,Amrita Vishwa Vidyapeetham,69.63,59.01,59.56,56.68,35.04,Coimbatore,Tamil Nadu,59.67,16,2021
IR-E-U-0575,Jadavpur University,54.82,60.61,76.88,43,48.82,Kolkata,West Bengal,59.19,17,2021
IR-E-U-0439,Anna University,66.29,50.06,58.6,50.87,65.95,Chennai,Tamil Nadu,58.31,18,2021
IR-E-U-0378,Indian Institute of Technology Ropar,81.35,34.08,69.1,62.78,33.74,Rupnagar,Punjab,58.09,19,2021
IR-E-U-0357,National Institute of Technology Rourkela,62.21,56.58,72.53,50.72,28.08,Rourkela,Odisha,58.02,20,2021
IR-E-U-0064,Indian Institute of Technology Patna,76.49,44.92,63.77,53.22,28.83,Patna,Bihar,57.38,21,2021
IR-E-U-0139,Indian Institute of Technology Gandhinagar,82.1,35.05,57.31,62.64,39.87,Gandhinagar,Gujarat,56.86,22,2021
IR-E-U-0025,National Institute of Technology Warangal,67.88,39.6,74.47,55.52,40.72,Warangal,Telangana,56.76,23,2021
IR-E-I-1480,Thapar Institute of Engineering and Technology,64.89,51.54,68.52,56.05,25.35,Patiala,Punjab,56.76,23,2021
IR-E-U-0263,National Institute of Technology Calicut,68,34.63,77.94,63.52,37.53,Kozhikode,Kerala,56.48,25,2021
IR-E-U-0391,Birla Institute of Technology & Science -Pilani,62.96,39.96,79.57,55.73,39.87,Pilani,Rajasthan,56.35,26,2021
IR-E-U-0584,Indian Institute of Engineering Science and Technology,66.13,47.54,64.47,49.7,42.36,Shibpur,West Bengal,56.2,27,2021
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,75.09,37.81,66.44,55.62,29.93,Bhubaneswar,Odisha,55.71,28,2021
IR-E-U-0577,National Institute of Technology Durgapur,69.23,42.64,68.37,56.43,26.15,Durgapur,West Bengal,55.48,29,2021
IR-E-U-0334,Visvesvaraya National Institute of Technology,66.19,46.05,70.66,53.53,17.84,Nagpur,Maharashtra,54.94,30,2021
IR-E-U-0497,Amity University,68.46,57.24,52.38,56.94,9.87,Gautam Budh Nagar,Uttar Pradesh,54.87,31,2021
IR-E-U-0363,Siksha `O` Anusandhan,75.76,34.28,70.16,65.14,12.15,Bhubaneswar,Odisha,54.77,32,2021
IR-E-U-0108,Jamia Millia Islamia,60.27,50,72.96,54.71,13.24,New Delhi,Delhi,54.46,33,2021
IR-E-U-0473,S.R.M. Institute of Science and Technology,60.31,50.91,67.01,60.9,13.24,Chennai,Tamil Nadu,54.17,34,2021
IR-E-U-0496,Aligarh Muslim University,71.79,50.09,56.66,40.38,20.65,Aligarh,Uttar Pradesh,54,35,2021
IR-E-U-0098,Delhi Technological University,66.23,31.79,73.63,58.61,39.59,New Delhi,Delhi,53.96,36,2021
IR-E-U-0410,Malaviya National Institute of Technology,70.69,43.21,62.04,57.79,15.86,Jaipur,Rajasthan,53.95,37,2021
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,71.47,37.62,67.55,57.06,12.7,Thanjavur,Tamil Nadu,53.22,38,2021
IR-E-U-0356,Kalinga Institute of Industrial Technology,69.99,29.98,70.72,76.68,13.24,Bhubaneswar,Odisha,53.12,39,2021
IR-E-U-0255,Indian Institute of Space Science and Technology,77.49,23.18,61.09,65.27,39.01,Thiruvananthapuram,Kerala,52.85,40,2021
IR-E-U-0184,Indian Institute of Technology Mandi,65.95,35.39,69.05,61.66,21.98,Mandi,Himachal Pradesh,52.58,41,2021
IR-E-U-0530,Motilal Nehru National Institute of Technology,64.23,34.07,73.63,54.84,21.98,Prayagraj,Uttar Pradesh,51.9,42,2021
IR-E-U-0395,Indian Institute of Technology Jodhpur,76.38,28.07,62.59,63.34,13.78,Jodhpur,Rajasthan,51.56,43,2021
IR-E-U-0172,National Institute of Technology Kurukshetra,62.2,40.64,62.01,53.66,19.73,Kurukshetra,Haryana,50.59,44,2021
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,66.95,34.56,61.71,53.48,20.65,Kancheepuram,Tamil Nadu,50.2,45,2021
IR-E-U-0202,Birla Institute of Technology,68.2,34.19,58.24,50.41,26.54,Ranchi,Jharkhand,50.06,46,2021
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,64.14,34.39,65.08,56.74,17.35,Surat,Gujarat,49.99,47,2021
IR-E-U-0055,National Institute of Technology Silchar,63.11,40.36,61.95,52.73,8.68,Silchar,Assam,49.57,48,2021
IR-E-U-0374,Dr. B. R. Ambedkar National Institute of Technology,67.97,27.72,60.78,63.12,18.32,Jalandhar,Punjab,49.01,49,2021
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),71.09,38.38,48.62,55.06,4.23,Vaddeswaram,Andhra Pradesh,48.49,50,2021
IR-E-C-7252,Manipal Institute of Technology,70.14,28.99,50.15,62.03,21.98,Manipal,Karnataka,48.17,51,2021
IR-E-C-41593,"College of Engineering, Pune",64.83,22.39,67.83,54.17,29.57,Pune,Maharashtra,48.12,52,2021
IR-E-C-37013,PSG College of Technology,68.57,23.58,48.35,48.89,57.14,Coimbatore,Tamil Nadu,47.91,53,2021
IR-E-U-0014,International Institute of Information Technology Hyderabad,50.76,33.07,71.08,51.44,26.15,Hyderabad,Telangana,47.12,54,2021
IR-E-U-0474,Sathyabama Institute of Science and Technology,59.83,41.05,45.39,63.17,9.87,Chennai,Tamil Nadu,46.65,55,2021
IR-E-U-0458,Kalasalingam Academy of Research and Higher Education,64.24,24.41,60.42,65.23,13.78,Srivilliputtur,Tamil Nadu,46.57,56,2021
IR-E-U-0249,Visvesvaraya Technological University,70.27,31.03,47.84,49.93,6.83,Belgaum,Karnataka,45.63,57,2021
IR-E-U-0297,Defence Institute of Advanced Technology,67.03,33.73,52.16,45.71,2.87,Pune,Maharashtra,45.52,58,2021
IR-E-U-0619,National Institute of Technology Meghalaya,67.63,24.12,55.3,64.22,3.56,Shillong,Meghalaya,45.37,59,2021
IR-E-U-0284,Maulana Azad National Institute of Technology,55.71,28.88,63.97,58.59,9.87,Bhopal,Madhya Pradesh,45.02,60,2021
IR-E-U-0747,Chandigarh University,68.9,17.05,46.81,76.33,22.42,Mohali,Punjab,45.01,61,2021
IR-E-U-0017,Jawaharlal Nehru Technological University,72.29,27.99,41.03,53.8,12.7,Hyderabad,Telangana,44.95,62,2021
IR-E-U-0105,"Indraprastha Institute of Information Technology, Delhi",54.79,31.79,68.04,39.39,13.24,New Delhi,Delhi,44.85,63,2021
IR-E-U-0092,National Institute of Technology Raipur,60.57,28.98,59.26,58.32,2.87,Raipur,Chhattisgarh,44.83,64,2021
IR-E-C-1331,M. S. Ramaiah Institute of Technology,66.25,16.84,60.05,53.7,14.31,Bengaluru,Karnataka,43.74,65,2021
IR-E-U-0379,Lovely Professional University,62.69,25.97,45.82,64.46,14.83,Phagwara,Punjab,43.69,66,2021
IR-E-U-0389,Banasthali Vidyapith,59.29,14.29,67.27,74.92,6.19,Banasthali,Rajasthan,43.64,67,2021
IR-E-U-0147,Pandit Deendayal Petroleum University,70.06,23.25,53.33,42.09,2.87,Gandhinagar,Gujarat,43.17,68,2021
IR-E-U-0197,National Institute of Technology Srinagar,65.87,14.29,57.85,63.89,6.19,Srinagar,Jammu and Kashmir,42.63,69,2021
IR-E-U-0080,"Punjab Engineering College (Deemed to be University), Chandigarh",55.98,15.24,65.57,55.41,26.15,Chandigarh,Chandigarh,42.62,70,2021
IR-E-C-26794,Thiagarajar College of Engineering,56.11,18.65,60.91,50.99,28.83,Madurai,Tamil Nadu,42.58,71,2021
IR-E-U-0072,National Institute of Technology Patna,54.45,24.3,61.87,50.77,9.87,Patna,Bihar,42.06,72,2021
IR-E-U-0795,Indian Institute of Information Technology Guwahati,64.87,9.13,56.91,53.01,31.01,Guwahati,Assam,41.98,73,2021
IR-E-C-24004,College of Engineering (A),64.45,9.77,69.23,53.92,4.23,Visakhapatnam,Andhra Pradesh,41.92,74,2021
IR-E-U-0555,Graphic Era University,64.78,13.64,49.07,60.45,24.53,Dehradun,Uttarakhand,41.83,75,2021
IR-E-U-0221,International Institute of Information Technology Bangalore,58.9,10.89,63.64,60.93,18.8,Bengaluru,Karnataka,41.64,76,2021
IR-E-C-1269,R.V. College of Engineering,63.87,14.45,57.01,50.3,15.86,Bengaluru,Karnataka,41.52,77,2021
